number	skill_id	name	category
13	10	Brand Ambassador	sales & marketing
13	419	Artificial Intelligence	it web & mobile
13	309	Rapid Prototyping	manufacture & engineering
13	1099	Photo Editing	design & multimedia
13	1152	Article Writing	writing and languages
13	1156	Blogging	writing and languages
13	1297	start ups	unknown
13	443	Business Software	it web & mobile
12	390	Algorithm Development	it web & mobile
12	830	Saas Marketing and sales automation	it web & mobile
12	320	Software Engineering	manufacture & engineering
12	33	Google+ Marketing	sales & marketing
12	1070	Game	design & multimedia
12	273	Industrial Engineering	manufacture & engineering
12	985	3D Modeling & CAD	design & multimedia
12	886	Symfony	it web & mobile
12	131	M&A	finance & management
12	1054	Digital Photography	design & multimedia
11	537	Econometrics	it web & mobile
11	448	C#	it web & mobile
11	137	Organizational Behavior	finance & management
11	913	VBA	it web & mobile
11	345	Customer Service	admin support
11	90	Business Angels	finance & management
11	143	Program Management	finance & management
11	277	Internet & Communications	manufacture & engineering
11	67	Twitter Marketing	sales & marketing
11	317	Scientific Research	manufacture & engineering
11	207	3D Printing	manufacture & engineering
11	1106	Print Design	design & multimedia
11	651	Linux	it web & mobile
10	1060	Fashion	design & multimedia
10	617	Java EE	it web & mobile
10	304	Physics	manufacture & engineering
10	1278	management	unknown
10	169	Venture Financing	finance & management
10	504	Data Modeling	it web & mobile
10	1203	Italian	writing and languages
10	141	Personal Finance	finance & management
10	174	Civil Law	legal
10	3	Ad planning & buying	sales & marketing
10	986	3D Modelling	design & multimedia
10	27	Freelance Marketing	sales & marketing
10	190	Intellectual Property	legal
10	1173	Copywriting	writing and languages
10	282	Logistics & Shipping	manufacture & engineering
9	941	Web Programming	it web & mobile
9	994	Adobe Creative Suite	design & multimedia
9	544	Express.js	it web & mobile
9	804	R	it web & mobile
9	1012	Adobe Photoshop Lightroom	design & multimedia
9	1155	Blog Writing	writing and languages
9	1017	Architecture	design & multimedia
9	37	Lead Generation	sales & marketing
9	1171	Content Writing	writing and languages
9	869	Software Testing	it web & mobile
9	1140	Web Content Management	design & multimedia
9	1022	Arts & Crafts	design & multimedia
9	565	Game Programming	it web & mobile
9	1174	Creative Writing	writing and languages
8	1276	Haskell	it web & mobile
8	937	Web Development	it web & mobile
8	1300	strategy	unknown
8	124	Investment Research	finance & management
8	167	Valuation	finance & management
8	1182	Editorial Writing	writing and languages
8	57	Salesforce.com	sales & marketing
8	285	Materials Engineering	manufacture & engineering
8	863	Social Networks Building	it web & mobile
8	46	Mobile Advertising	sales & marketing
8	524	Django	it web & mobile
8	175	Commercial	legal
8	203	Tax Law	legal
8	817	Relational Databases	it web & mobile
8	1006	Adobe Illustrator CS	design & multimedia
8	440	Bootstrap	it web & mobile
8	844	ScrumWorks	it web & mobile
8	478	Community	it web & mobile
8	536	ecommerce solutions	it web & mobile
8	68	Viral Marketing	sales & marketing
8	1161	Business Writing	writing and languages
8	1299	leadership	unknown
8	911	Unix	it web & mobile
7	1076	Interior Design	design & multimedia
7	153	Recruitment	finance & management
7	44	Media Relations	sales & marketing
7	270	Human Sciences	manufacture & engineering
7	321	SolidWorks	manufacture & engineering
7	21	Display Ads	sales & marketing
7	254	Electronic Engineering	manufacture & engineering
7	375	Writing	admin support
7	12	Broadcast Advertising	sales & marketing
7	984	3D Design	design & multimedia
7	1135	Videography	design & multimedia
7	694	MySQL Administration	it web & mobile
7	63	Social Media Optimization SMO	sales & marketing
7	866	Software Engineering	it web & mobile
7	313	Rhinoceros 3D	manufacture & engineering
7	130	Legal	finance & management
7	1206	Journalism	writing and languages
7	52	Pitching	sales & marketing
7	1172	Copy Editing	writing and languages
7	987	3D Rendering	design & multimedia
7	85	Asset Management	finance & management
7	338	Business Process Outsourcing	admin support
7	512	Database	it web & mobile
6	1344	e commerce	unknown
6	1233	Proofreading	writing and languages
6	370	Travel Planning	admin support
6	354	Internet Research	admin support
6	1144	Wireframes	design & multimedia
6	393	Amazon Web Services	it web & mobile
6	1314	social media	unknown
6	125	IT	finance & management
6	1115	Sketching	design & multimedia
6	503	Data Mining	it web & mobile
6	226	Biology	manufacture & engineering
6	288	Mechanical Design	manufacture & engineering
6	361	Office Management	admin support
6	272	Industrial Design	manufacture & engineering
6	102	Crowdfunding	finance & management
6	710	Network Security	it web & mobile
6	256	Electronics	manufacture & engineering
6	201	Real Estate Law	legal
6	526	Docker	it web & mobile
6	1263	Translation	writing and languages
6	603	Information Management	it web & mobile
6	1136	Visual Arts	design & multimedia
6	1018	Art Direction	design & multimedia
6	93	Business Mathematics	finance & management
6	220	Arduino	manufacture & engineering
6	16	Constant Contact	sales & marketing
6	1270	Web Content	writing and languages
6	1056	Drawing	design & multimedia
6	679	Mobile App Testing	it web & mobile
6	192	Legal Consulting	legal
6	222	AutoCAD	manufacture & engineering
6	446	C	it web & mobile
5	408	Application Development	it web & mobile
5	725	OpenGL	it web & mobile
5	991	Adobe After Effects	design & multimedia
5	481	Computer Architecture	it web & mobile
5	237	Civil Engineering	manufacture & engineering
5	210	3D Technology	manufacture & engineering
5	372	Video Upload	admin support
5	359	Microsoft Outlook	admin support
5	1064	Final Cut Pro	design & multimedia
5	490	CRM	it web & mobile
5	951	Windows	it web & mobile
5	1013	Adobe Premiere	design & multimedia
5	1168	Chinese	writing and languages
5	626	JIRA	it web & mobile
5	1134	Video Publishing	design & multimedia
5	1185	English Proofreading	writing and languages
5	240	Computational science	manufacture & engineering
5	347	Email	admin support
5	188	Insurance	legal
5	1306	product marketing	unknown
5	78	Acquisitions	finance & management
5	404	API	it web & mobile
5	497	Data Cleansing	it web & mobile
5	39	Loyalty Marketing	sales & marketing
5	405	App Store	it web & mobile
5	715	Object Oriented PHP	it web & mobile
5	1298	growth strategies	unknown
5	1211	Legal Writing	writing and languages
5	1008	Adobe InDesign CS	design & multimedia
5	387	AJAX	it web & mobile
4	152	Recruiter	finance & management
4	1162	Business writing	writing and languages
4	969	XML	it web & mobile
4	1287	power point	unknown
4	1181	Editing	writing and languages
4	411	Application Lifecycle Management	it web & mobile
4	9	Bing Ads	sales & marketing
4	1011	Adobe Photoshop CS	design & multimedia
4	253	Electronic Design	manufacture & engineering
4	890	TCP/IP	it web & mobile
4	656	Magento	it web & mobile
4	342	Computer Skills	admin support
4	789	PostgreSQL Programming	it web & mobile
4	1279	java script	unknown
4	199	Patent Law	legal
4	833	SAP	it web & mobile
